sample,time_s,raw_u16,code12,voltage_V
410,0.205011000,46091,2880,2.320902
411,0.205512000,30695,1918,1.545640
412,0.206011000,16708,1044,0.841328
413,0.206511000,12371,773,0.622939
414,0.207011000,20148,1259,1.014548
415,0.207511000,35592,2224,1.792227
416,0.208012000,49548,3096,2.494978
417,0.208511000,53933,3370,2.715784
418,0.209010000,46203,2887,2.326542
419,0.209510000,30775,1923,1.549668
420,0.210009000,16788,1049,0.845356
421,0.210509000,12371,773,0.622939
422,0.211009000,20116,1257,1.012937
423,0.211508000,35480,2217,1.786587
424,0.212008000,49452,3090,2.490144
425,0.212508000,53917,3369,2.714978
426,0.213013000,46043,2877,2.318485
427,0.213513000,30647,1915,1.543223
428,0.214013000,16692,1043,0.840522
429,0.214513000,12419,776,0.625356
430,0.215012000,20276,1267,1.020993
431,0.215511000,35624,2226,1.793838
432,0.216012000,49596,3099,2.497395
433,0.216512000,53885,3367,2.713367
434,0.217011000,46091,2880,2.320902
435,0.217511000,30711,1919,1.546445
436,0.218010000,16740,1046,0.842939
437,0.218510000,12451,778,0.626967
438,0.219009000,20100,1256,1.012131
439,0.219509000,35480,2217,1.786587
440,0.220008000,49484,3092,2.491756
441,0.220509000,53917,3369,2.714978
442,0.221008000,46235,2889,2.328153
443,0.221514000,30679,1917,1.544834
444,0.222014000,16692,1043,0.840522
445,0.222514000,12451,778,0.626967
446,0.223014000,20276,1267,1.020993
447,0.223514000,35688,2230,1.797061
448,0.224008000,49500,3093,2.492561
449,0.224508000,53869,3366,2.712561
450,0.225014000,45995,2874,2.316068
451,0.225513000,30647,1915,1.543223
452,0.226013000,16692,1043,0.840522
453,0.226512000,12467,779,0.627773
454,0.227012000,20228,1264,1.018576
455,0.227512000,35640,2227,1.794644
456,0.228012000,49532,3095,2.494172
457,0.228512000,53933,3370,2.715784
458,0.229011000,46107,2881,2.321708
459,0.229511000,30743,1921,1.548057
460,0.230011000,16756,1047,0.843745
461,0.230510000,12387,774,0.623745
462,0.231010000,20164,1260,1.015354
463,0.231511000,35656,2228,1.795450
464,0.232011000,49548,3096,2.494978
465,0.232510000,53837,3364,2.710950
466,0.233010000,46107,2881,2.321708
467,0.233510000,30695,1918,1.545640
468,0.234009000,16756,1047,0.843745
469,0.234509000,12451,778,0.626967
470,0.235009000,20084,1255,1.011325
471,0.235509000,35544,2221,1.789810
472,0.236008000,49484,3092,2.491756
473,0.236508000,53853,3365,2.711756
474,0.237008000,46171,2885,2.324930
475,0.237513000,30663,1916,1.544028
476,0.238014000,16692,1043,0.840522
477,0.238513000,12355,772,0.622133
478,0.239014000,20260,1266,1.020188
479,0.239513000,35640,2227,1.794644
480,0.240013000,49596,3099,2.497395
481,0.240513000,53949,3371,2.716590
482,0.241013000,46139,2883,2.323319
483,0.241513000,30663,1916,1.544028
484,0.242012000,16724,1045,0.842133
485,0.242512000,12387,774,0.623745
486,0.243012000,20196,1262,1.016965
487,0.243512000,35528,2220,1.789004
488,0.244011000,49500,3093,2.492561
489,0.244511000,53853,3365,2.711756
490,0.245011000,46155,2884,2.324124
491,0.245511000,30727,1920,1.547251
